,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
0,1722470402038431,0.0110436,121492.0,0.0110435,103687.0,0.0110438,4663.0,0.0110433,36226.0,0.0110444,59430.0,0.0110432,363479.0,0.0110445,41330.0,0.0110431,151775.0,0.0110446,39907.0,0.0110429,36226.0,0.0110447,82496.0,0.0110425,36226.0,0.0110448,66092.0,0.0110423,116549.0,0.0110449,38544.0,0.0110421,36226.0,0.011045,175716.0,0.011042,238607.0,0.0110452,85216.0,0.0110419,261840.0,0.0110453,39165.0,0.0110418,102775.0,0.0110454,193001.0,0.0110417,37721.0,0.0110455,221020.0,0.0110415,20000.0,0.0110456,86025.0,0.0110414,155832.0,0.0110457,27281.0,0.0110413,127375.0,0.0110459,38954.0,0.0110412,197985.0,0.011046,156647.0,0.0110411,102775.0,0.0110461,1040.0,0.011041,99076.0,0.0110463,498781.0,0.0110409,91285.0,0.0110464,168128.0,0.0110408,90928.0,0.0110465,457881.0,0.0110407,42480.0,0.0110466,798041.0,0.0110406,100571.0,0.0110467,201864.0,0.0110405,147374.0,0.0110468,666690.0,0.0110403,69663.0,0.0110469,1000463.0,0.0110402,90028.0
1,1722470402305331,0.0110436,121492.0,0.0110435,100499.0,0.0110438,4663.0,0.0110433,36226.0,0.0110444,59430.0,0.0110432,363479.0,0.0110445,41330.0,0.0110431,151775.0,0.0110446,39907.0,0.0110429,36226.0,0.0110447,82496.0,0.0110425,36226.0,0.0110448,66092.0,0.0110423,116549.0,0.0110449,38544.0,0.0110421,36226.0,0.011045,175716.0,0.011042,238607.0,0.0110452,85216.0,0.0110419,261840.0,0.0110453,39165.0,0.0110418,102775.0,0.0110454,193001.0,0.0110417,37721.0,0.0110455,221020.0,0.0110415,20000.0,0.0110456,86025.0,0.0110414,155832.0,0.0110457,27281.0,0.0110413,127375.0,0.0110459,38954.0,0.0110412,197985.0,0.011046,156647.0,0.0110411,102775.0,0.0110461,1040.0,0.011041,99076.0,0.0110463,498781.0,0.0110409,91285.0,0.0110464,168128.0,0.0110408,90928.0,0.0110465,457881.0,0.0110407,42480.0,0.0110466,798041.0,0.0110406,100571.0,0.0110467,201864.0,0.0110405,147374.0,0.0110468,666690.0,0.0110403,69663.0,0.0110469,1000463.0,0.0110402,90028.0
2,1722470403485121,0.0110408,60925.0,0.0110407,747323.0,0.0110412,59430.0,0.0110404,337839.0,0.0110416,59430.0,0.0110403,403588.0,0.011042,121646.0,0.0110402,247540.0,0.0110421,97023.0,0.0110401,51527.0,0.0110422,5157.0,0.01104,97684.0,0.0110423,861413.0,0.0110399,190398.0,0.0110424,480845.0,0.0110398,217072.0,0.0110425,185572.0,0.0110397,36226.0,0.0110428,59430.0,0.0110396,99076.0,0.011043,40821.0,0.0110395,1495.0,0.0110431,171427.0,0.0110394,70083.0,0.0110432,919052.0,0.0110393,90777.0,0.0110433,57402.0,0.0110392,6180.0,0.0110435,241146.0,0.011039,161577.0,0.0110436,208225.0,0.0110389,38255.0,0.0110439,5170.0,0.0110388,271962.0,0.0110441,45691.0,0.0110387,6299.0,0.0110442,79263.0,0.0110386,19740.0,0.0110444,64587.0,0.0110385,132214.0,0.0110446,1958.0,0.0110384,1495.0,0.011045,44158.0,0.0110383,61706.0,0.0110452,44158.0,0.0110382,27842.0,0.0110453,173025.0,0.0110381,77932.0,0.0110454,162045.0,0.011038,2520.0
3,1722470403950214,0.011042,47154.0,0.0110419,659456.0,0.0110423,721458.0,0.0110411,168126.0,0.0110424,421415.0,0.0110409,305661.0,0.0110425,185572.0,0.0110408,340138.0,0.0110428,59430.0,0.0110407,262656.0,0.011043,909.0,0.0110405,36226.0,0.0110431,52245.0,0.0110404,150571.0,0.0110432,147766.0,0.0110403,351166.0,0.0110433,83188.0,0.0110402,4024.0,0.0110435,36494.0,0.0110401,36226.0,0.0110436,208225.0,0.01104,97684.0,0.0110439,5170.0,0.0110399,102775.0,0.0110441,45691.0,0.0110398,164449.0,0.0110442,79263.0,0.0110397,36226.0,0.0110444,64587.0,0.0110396,99076.0,0.0110446,1958.0,0.0110395,1495.0,0.0110449,44158.0,0.0110394,70083.0,0.0110451,44158.0,0.0110393,90777.0,0.0110452,30180.0,0.0110392,6180.0,0.0110453,173025.0,0.011039,161577.0,0.0110454,162045.0,0.0110389,38255.0,0.0110455,92401.0,0.0110388,344820.0,0.0110456,14335.0,0.0110387,6299.0,0.0110457,1495.0,0.0110386,109781.0,0.0110458,4619.0,0.0110385,132214.0
4,1722470404424495,0.011042,463599.0,0.0110419,34546.0,0.0110421,4619.0,0.0110408,102775.0,0.0110422,31289.0,0.0110407,63580.0,0.0110423,721458.0,0.0110406,1495.0,0.0110424,419920.0,0.0110404,90842.0,0.0110425,185572.0,0.0110403,201851.0,0.0110426,41333.0,0.0110402,4024.0,0.0110427,40310.0,0.01104,97684.0,0.0110428,85216.0,0.0110399,102775.0,0.0110429,78673.0,0.0110398,164449.0,0.011043,26695.0,0.0110396,99076.0,0.0110431,78031.0,0.0110395,1495.0,0.0110432,147766.0,0.0110394,70083.0,0.0110433,83188.0,0.0110393,90777.0,0.0110435,36494.0,0.0110392,6180.0,0.0110436,207558.0,0.0110391,122067.0,0.0110439,5170.0,0.011039,161577.0,0.011044,13752.0,0.0110389,38255.0,0.0110441,45691.0,0.0110388,344820.0,0.0110442,38956.0,0.0110387,6299.0,0.0110444,64587.0,0.0110386,19740.0,0.0110445,47598.0,0.0110385,132214.0,0.0110446,1958.0,0.0110384,1495.0,0.0110447,30170.0,0.0110383,61706.0,0.0110448,638314.0,0.0110382,27842.0
5,1722470405001648,0.0110395,554238.0,0.0110394,74024.0,0.0110398,16620.0,0.0110389,2029.0,0.0110399,613268.0,0.0110388,163947.0,0.01104,87639.0,0.0110387,6299.0,0.0110401,51650.0,0.0110385,41383.0,0.0110402,82939.0,0.0110384,21495.0,0.0110405,78683.0,0.0110383,11648.0,0.0110406,91599.0,0.0110381,118053.0,0.0110407,52245.0,0.011038,2520.0,0.011041,104467.0,0.0110379,103229.0,0.0110411,119758.0,0.0110377,2177.0,0.0110412,237461.0,0.0110376,1743.0,0.0110413,1495.0,0.0110375,137304.0,0.0110415,125786.0,0.0110374,70739.0,0.0110416,159260.0,0.0110373,29792.0,0.0110417,30186.0,0.0110372,137310.0,0.0110418,751623.0,0.0110371,94589.0,0.0110419,316617.0,0.011037,208178.0,0.011042,185166.0,0.0110367,163574.0,0.0110421,5170.0,0.0110366,181615.0,0.0110422,70097.0,0.0110365,363479.0,0.0110423,1068604.0,0.0110364,165653.0,0.0110424,421415.0,0.0110363,60440.0,0.0110425,213236.0,0.0110362,691780.0,0.0110428,59430.0,0.0110361,110382.0
6,1722470405480325,0.0110409,116746.0,0.0110408,198074.0,0.0110411,31289.0,0.0110405,36226.0,0.0110412,59430.0,0.0110401,36226.0,0.0110413,1495.0,0.0110399,241412.0,0.0110416,59430.0,0.0110398,99076.0,0.0110417,39912.0,0.0110397,36226.0,0.0110418,342880.0,0.0110396,179574.0,0.0110419,90831.0,0.0110395,290590.0,0.011042,185166.0,0.0110394,110232.0,0.0110421,65469.0,0.0110393,36226.0,0.0110423,1094390.0,0.0110389,38255.0,0.0110424,447201.0,0.0110388,163947.0,0.0110425,185572.0,0.0110387,6299.0,0.0110428,59430.0,0.0110385,41383.0,0.011043,6079.0,0.0110384,60925.0,0.0110431,52245.0,0.0110383,11648.0,0.0110432,488766.0,0.0110382,118275.0,0.0110433,57402.0,0.0110381,235511.0,0.0110434,90831.0,0.011038,2520.0,0.0110435,36494.0,0.0110379,103229.0,0.0110436,108227.0,0.0110378,5942.0,0.011044,13752.0,0.0110377,80109.0,0.0110441,468342.0,0.0110376,1743.0,0.0110442,1038956.0,0.0110375,161768.0,0.0110443,97641.0,0.0110374,91499.0
7,1722470405991679,0.0110432,386126.0,0.0110431,682157.0,0.0110435,1495.0,0.011043,332412.0,0.0110436,48797.0,0.0110429,477184.0,0.0110441,45691.0,0.0110428,59430.0,0.0110443,52357.0,0.0110426,184095.0,0.0110444,5157.0,0.0110425,36226.0,0.0110446,1495.0,0.0110424,128799.0,0.0110447,25786.0,0.0110423,518841.0,0.0110448,664100.0,0.0110422,367445.0,0.0110453,233137.0,0.0110421,316463.0,0.0110454,162045.0,0.011042,232562.0,0.0110455,57402.0,0.0110419,771053.0,0.0110457,1495.0,0.0110418,194823.0,0.0110459,117691.0,0.0110417,259789.0,0.011046,52590.0,0.0110416,87272.0,0.0110461,662857.0,0.0110413,135302.0,0.0110462,181124.0,0.0110412,59430.0,0.0110463,5965.0,0.011041,90593.0,0.0110464,138860.0,0.0110409,88471.0,0.0110465,323922.0,0.0110408,93073.0,0.0110466,2649854.0,0.0110406,1495.0,0.0110467,126720.0,0.0110405,36226.0,0.0110468,28376.0,0.0110404,157838.0,0.0110469,463.0,0.0110401,161402.0,0.011047,454.0,0.01104,269376.0
8,1722470406494184,0.0110436,164629.0,0.0110435,205873.0,0.0110441,45691.0,0.0110432,276155.0,0.0110448,44104.0,0.011043,302967.0,0.0110449,124535.0,0.0110429,295832.0,0.0110451,473054.0,0.0110428,59430.0,0.0110453,25786.0,0.0110425,36226.0,0.0110454,187831.0,0.0110424,59430.0,0.0110455,57402.0,0.0110423,348531.0,0.0110457,18922.0,0.0110422,167445.0,0.0110458,25786.0,0.0110421,582933.0,0.0110459,55943.0,0.011042,202506.0,0.011046,131822.0,0.0110419,665330.0,0.0110461,270471.0,0.0110418,52699.0,0.0110463,168474.0,0.0110417,157014.0,0.0110464,108698.0,0.0110416,147266.0,0.0110465,381986.0,0.0110413,36226.0,0.0110466,803198.0,0.0110412,59430.0,0.0110468,28376.0,0.0110409,346862.0,0.0110469,1000000.0,0.0110408,92597.0,0.011047,454.0,0.0110407,690285.0,0.0110471,173025.0,0.0110406,1495.0,0.0110472,1495.0,0.0110405,302333.0,0.0110473,17012.0,0.0110404,86139.0,0.0110474,4497.0,0.01104,59893.0,0.0110475,2699.0,0.0110398,90439.0
9,1722470406974769,0.0110388,391258.0,0.0110383,111147.0,0.0110389,391257.0,0.0110382,227471.0,0.0110399,44104.0,0.0110381,37406.0,0.0110401,164274.0,0.011038,2520.0,0.0110404,52245.0,0.0110379,100547.0,0.0110405,493198.0,0.0110378,277547.0,0.0110407,55532.0,0.0110377,692462.0,0.0110408,734763.0,0.0110376,1743.0,0.0110409,729844.0,0.0110375,70705.0,0.0110412,211747.0,0.0110374,70739.0,0.0110413,175004.0,0.0110373,1950.0,0.0110416,112638.0,0.0110372,145386.0,0.0110417,35032.0,0.0110371,909.0,0.0110418,208289.0,0.011037,19740.0,0.0110419,100000.0,0.0110366,455.0,0.011042,193505.0,0.0110365,381600.0,0.0110421,128561.0,0.0110364,1743.0,0.0110422,25786.0,0.0110363,5906.0,0.0110424,1627939.0,0.0110362,101584.0,0.0110425,305642.0,0.0110361,210745.0,0.0110429,128561.0,0.011036,191117.0,0.011043,26695.0,0.0110359,406644.0,0.0110431,25786.0,0.0110358,859771.0,0.0110432,147428.0,0.0110355,137497.0,0.0110434,30179.0,0.0110354,247520.0
